# Time, BJD, SAP_FLUX, SAP_FLUX_ERR, PDCSAP_FLUX, PDCSAP_FLUX_ERR

1559.225698 2456392.225698 41380.839844 6.157716 nan nan
1559.246132 2456392.246132 41353.597656 6.156266 53586.246094 7.914860
1559.266567 2456392.266567 41348.074219 6.155945 53575.238281 7.912273
1559.287001 2456392.287001 41321.339844 6.154464 53541.015625 7.910694
1559.307436 2456392.307436 41309.246094 6.153968 53523.593750 7.909538
1559.327870 2456392.327870 41312.886719 6.154076 53525.957031 7.917767
1559.348305 2456392.348305 41290.718750 6.152960 53500.746094 7.913015
1559.368739 2456392.368739 41292.972656 6.153089 53500.902344 7.916050
1559.389173 2456392.389173 41299.136719 6.153361 53507.519531 7.924423
1559.409608 2456392.409608 41296.000000 6.153196 53503.820312 7.920630
1559.430042 2456392.430042 41315.226562 6.154270 53523.773438 7.928822
1559.450477 2456392.450477 41323.468750 6.154610 53535.750000 7.926991
1559.470911 2456392.470911 41336.542969 6.155247 53554.453125 7.934748
1559.491345 2456392.491345 41349.593750 6.155882 53565.105469 7.935366
1559.511780 2456392.511780 41358.589844 6.156491 53579.222656 7.935089
1559.532214 2456392.532214 41365.792969 6.156771 53585.289062 7.933507
1559.552649 2456392.552649 41385.519531 6.157823 53607.316406 7.939904
1559.573083 2456392.573083 41397.460938 6.158379 53627.695312 7.942996
1559.593517 2456392.593517 41380.718750 6.157403 53601.539062 7.937010
1559.613952 2456392.613952 41387.730469 6.157930 53609.277344 7.950257
1559.634386 2456392.634386 41401.937500 6.158455 53630.050781 7.947461
1559.654821 2456392.654821 41401.316406 6.158584 53622.812500 7.949471
1559.675255 2456392.675255 41418.082031 6.159377 53647.050781 7.946349
1559.695689 2456392.695689 41428.183594 6.159788 53660.636719 7.953386
1559.716124 2456392.716124 41430.828125 6.159948 53659.855469 7.949102
1559.736558 2456392.736558 41440.125000 6.160413 53675.613281 7.955254
1559.756993 2456392.756993 41439.570312 6.160349 53671.523438 7.953500
1559.777427 2456392.777427 41455.570312 6.161188 53690.671875 7.953646
1559.797861 2456392.797861 41445.207031 6.160578 53679.785156 7.954117
1559.818296 2456392.818296 41453.933594 6.161111 53688.953125 7.956714
1559.838730 2456392.838730 41454.605469 6.161106 53687.925781 7.961347
1559.859165 2456392.859165 41445.593750 6.160654 53678.300781 7.959230
1559.879599 2456392.879599 41462.300781 6.161435 53695.781250 7.962627
1559.900033 2456392.900033 41455.949219 6.161213 53690.054688 7.962345
1559.920468 2456392.920468 41431.941406 6.159898 53657.753906 7.959380
1559.940902 2456392.940902 41431.425781 6.159825 53654.316406 7.958184
1559.961337 2456392.961337 41410.613281 6.158827 53631.957031 7.959527
1559.981771 2456392.981771 41393.644531 6.157956 53605.402344 7.960194
1560.002206 2456393.002206 41374.472656 6.156957 53578.164062 7.960124
1560.022640 2456393.022640 41359.859375 6.156219 53563.351562 7.960994
1560.043074 2456393.043074 41357.472656 6.156060 53558.429688 7.956020
