# Time, BJD, SAP_FLUX, SAP_FLUX_ERR, PDCSAP_FLUX, PDCSAP_FLUX_ERR

260.225144 2455093.225144 49850.554688 7.696079 nan nan
260.245577 2455093.245577 49867.625000 7.698587 56916.656250 8.636673
260.266010 2455093.266010 49862.800781 7.697219 56871.929688 8.634717
260.286443 2455093.286443 49899.324219 7.699816 56885.050781 8.637264
260.306876 2455093.306876 49939.550781 7.701322 56973.195312 8.639679
260.327308 2455093.327308 49956.781250 7.702049 57011.222656 8.639918
260.347741 2455093.347741 49957.218750 7.702243 57057.500000 8.640336
260.368174 2455093.368174 49991.921875 7.703583 57105.613281 8.641068
260.388607 2455093.388607 50015.503906 7.704394 57139.195312 8.643057
260.409040 2455093.409040 50041.085938 7.705526 57176.875000 8.644423
260.429473 2455093.429473 50060.648438 7.706345 57192.347656 8.644810
260.449905 2455093.449905 50070.363281 7.706847 57228.984375 8.644974
260.470338 2455093.470338 50088.300781 7.707541 57246.757812 8.645389
260.490771 2455093.490771 50090.542969 7.707889 57278.859375 8.646221
260.511204 2455093.511204 50109.152344 7.708272 57292.429688 8.645899
260.531637 2455093.531637 50074.000000 7.706915 57269.777344 8.644984
260.552069 2455093.552069 50072.746094 7.706796 57256.867188 8.643863
260.572502 2455093.572502 50061.925781 7.706388 57250.457031 8.643666
260.592935 2455093.592935 50052.949219 7.706321 57240.738281 8.643536
260.613368 2455093.613368 50062.296875 7.706535 57252.078125 8.643892
260.633801 2455093.633801 50048.421875 7.705889 57259.175781 8.643688
260.654234 2455093.654234 50046.289062 7.705672 57252.875000 8.641944
260.674666 2455093.674666 50067.367188 7.706483 57307.429688 8.644340
260.695099 2455093.695099 50053.312500 7.706095 57284.863281 8.642793
260.715532 2455093.715532 50033.437500 7.705336 57282.800781 8.642921
260.735965 2455093.735965 50056.304688 7.706173 57301.804688 8.643572
260.756398 2455093.756398 50055.484375 7.706244 57308.574219 8.643972
260.776831 2455093.776831 50070.707031 7.706860 57324.816406 8.644165
260.797263 2455093.797263 50065.332031 7.706645 57317.609375 8.644703
260.817696 2455093.817696 50057.828125 7.706375 57321.734375 8.644222
