# Time, BJD, SAP_FLUX, SAP_FLUX_ERR, PDCSAP_FLUX, PDCSAP_FLUX_ERR

808.515502 2455641.515502 40841.855469 6.002802 nan nan
808.535936 2455641.535936 40847.218750 6.003004 54704.871094 8.077251
808.556370 2455641.556370 40854.000000 6.003356 54715.433594 8.082021
808.576805 2455641.576805 40075.992188 5.960803 53661.429688 8.025491
808.597239 2455641.597239 38137.015625 5.852320 51034.683594 7.880776
808.617673 2455641.617673 35496.660156 5.699895 47467.687500 7.673479
808.638108 2455641.638108 32571.533203 5.526563 43508.289062 7.445948
808.658542 2455641.658542 29876.193359 5.358811 39864.640625 7.222929
808.678976 2455641.678976 28655.876953 5.285776 38214.570312 7.126872
808.699411 2455641.699411 28644.595703 5.285043 38195.519531 7.123534
808.719845 2455641.719845 29063.904297 5.310143 38762.437500 7.157258
808.740279 2455641.740279 31320.193359 5.448986 41810.222656 7.343784
808.760714 2455641.760714 34245.054688 5.626729 45761.652344 7.582889
808.781148 2455641.781148 37069.019531 5.791287 49579.859375 7.803483
808.801582 2455641.801582 39380.761719 5.924091 52701.554688 7.981268
808.822017 2455641.822017 40735.601562 5.997032 54528.980469 8.080319
808.842451 2455641.842451 40909.531250 6.006024 54768.074219 8.092155
808.862885 2455641.862885 40901.375000 6.005687 54753.726562 8.092267
808.883320 2455641.883320 40890.753906 6.005068 54735.632812 8.090629
808.903754 2455641.903754 40860.214844 6.003511 54696.921875 8.088139
808.924188 2455641.924188 40856.464844 6.003183 54689.312500 8.087437
808.944623 2455641.944623 40847.480469 6.002804 54674.000000 8.088815
808.965057 2455641.965057 40835.734375 6.002130 54659.789062 8.088124
808.985491 2455641.985491 40836.097656 6.002171 54657.757812 8.088433
809.005926 2455642.005926 40809.093750 6.000799 54620.878906 8.088249
809.026360 2455642.026360 40821.378906 6.001446 54638.839844 8.085195
809.046794 2455642.046794 40825.257812 6.001618 54639.558594 8.087388
809.067229 2455642.067229 40832.078125 6.001820 54648.957031 8.089109
809.087663 2455642.087663 40832.972656 6.001912 54651.308594 8.089742
809.108097 2455642.108097 40835.625000 6.002030 54649.289062 8.091161
809.128532 2455642.128532 40845.121094 6.002569 54664.460938 8.090442
809.148966 2455642.148966 40863.804688 6.003502 54689.210938 8.090541
809.169400 2455642.169400 40863.492188 6.005208 54685.500000 8.094041
809.189835 2455642.189835 40866.660156 6.005323 54692.164062 8.095268
809.210269 2455642.210269 40882.910156 6.007910 54714.945312 8.100372
809.230703 2455642.230703 40883.320312 6.007912 54711.996094 8.100312
809.251138 2455642.251138 40941.625000 6.019760 54791.527344 8.114854
809.271572 2455642.271572 40901.613281 6.008881 54736.492188 8.101128
809.292006 2455642.292006 40891.082031 6.008351 54720.246094 8.101113
809.312441 2455642.312441 40900.949219 6.008876 54734.851562 8.100748
809.332875 2455642.332875 40908.269531 6.009183 54742.574219 8.100455
809.353309 2455642.353309 40910.644531 6.009394 54745.867188 8.100526
809.373744 2455642.373744 40917.949219 6.009782 54756.468750 8.103122
809.394178 2455642.394178 40931.085938 6.010411 54770.058594 8.103745
809.414612 2455642.414612 40933.683594 6.010433 54776.601562 8.105452
809.435047 2455642.435047 40946.992188 6.011199 54794.105469 8.106001
809.455481 2455642.455481 40959.359375 6.011847 54808.015625 8.108178
809.475915 2455642.475915 40963.164062 6.011995 54816.343750 8.104052
809.496350 2455642.496350 40965.539062 6.012104 54817.613281 8.108096
809.516784 2455642.516784 40959.875000 6.011950 54807.355469 8.108173
809.537218 2455642.537218 40970.195312 6.012515 54823.738281 8.109574
809.557653 2455642.557653 40961.507812 6.011979 54810.347656 8.107517
809.578087 2455642.578087 40951.265625 6.011349 54795.523438 8.107741
809.598521 2455642.598521 40936.890625 6.010640 54779.644531 8.105670
809.618956 2455642.618956 40933.210938 6.010420 54770.734375 8.105918
809.639390 2455642.639390 40905.945312 6.009007 54732.941406 8.103563
809.659824 2455642.659824 40882.019531 6.007768 54704.453125 8.102403
809.680259 2455642.680259 40871.949219 6.007214 54685.871094 8.101418
809.700693 2455642.700693 40872.496094 6.007203 54688.289062 8.101408
809.721127 2455642.721127 40856.738281 6.006384 54668.726562 8.102145
809.741562 2455642.741562 40869.625000 6.007082 54682.277344 8.101517
809.761996 2455642.761996 40857.375000 6.006464 54667.664062 8.100858
809.782430 2455642.782430 40852.675781 6.006226 54661.320312 8.101947
809.802865 2455642.802865 40857.906250 6.006711 54666.054688 8.103479
809.823299 2455642.823299 40869.976562 6.007091 54684.441406 8.101649
809.843733 2455642.843733 40882.332031 6.007697 54701.898438 8.103871
809.864168 2455642.864168 40892.617188 6.008176 54712.007812 8.105397
809.884602 2455642.884602 40886.488281 6.007892 54706.246094 8.103989
809.905037 2455642.905037 40891.824219 6.008144 54713.765625 8.104052
809.925471 2455642.925471 40895.410156 6.008412 54717.722656 8.106098
809.945905 2455642.945905 40922.753906 6.009727 54755.835938 8.106821
809.966340 2455642.966340 40920.679688 6.009597 54751.003906 8.105762
809.986774 2455642.986774 40938.332031 6.010437 54773.117188 8.108276
810.007208 2455643.007208 40921.996094 6.009619 54752.835938 8.107064
810.027643 2455643.027643 40933.230469 6.010267 54765.847656 8.109277
810.048077 2455643.048077 40931.390625 6.010166 54765.292969 8.109442
810.068511 2455643.068511 40938.894531 6.010538 54776.820312 8.107735
810.088946 2455643.088946 40928.820312 6.009982 54759.691406 8.107222
810.109380 2455643.109380 40932.855469 6.010208 54767.191406 8.108962
810.129814 2455643.129814 40953.585938 6.011229 54796.671875 8.108573
810.150249 2455643.150249 40952.632812 6.011189 54793.121094 8.109547
810.170683 2455643.170683 40961.355469 6.011611 54805.703125 8.110199
810.191117 2455643.191117 40956.363281 6.011418 54799.707031 8.110064
810.211552 2455643.211552 40981.562500 6.012706 54831.847656 8.112060
810.231986 2455643.231986 40965.410156 6.011808 54812.292969 8.110927
810.252420 2455643.252420 40970.792969 6.012100 54819.027344 8.111681
810.272855 2455643.272855 40965.484375 6.011788 54811.585938 8.112309
810.293289 2455643.293289 40964.152344 6.011707 54810.960938 8.110991
810.313723 2455643.313723 40940.171875 6.010478 54776.097656 8.110121
810.334158 2455643.334158 40944.605469 6.010713 54782.562500 8.109416
810.354592 2455643.354592 40928.945312 6.009909 54761.023438 8.108310
810.375026 2455643.375026 40900.746094 6.008359 54722.285156 8.106168
810.395461 2455643.395461 40895.671875 6.008098 54716.765625 8.106939
810.415895 2455643.415895 40886.566406 6.007679 54705.636719 8.106216
810.436330 2455643.436330 40873.457031 6.007015 54683.578125 8.105777
810.456764 2455643.456764 40871.085938 6.006814 54683.675781 8.105135
810.477198 2455643.477198 40849.542969 6.005746 54653.714844 8.104200
810.497633 2455643.497633 40869.429688 6.006707 54679.187500 8.104730
810.518067 2455643.518067 40866.886719 6.006566 54677.796875 8.104875
