# Time, BJD, SAP_FLUX, SAP_FLUX_ERR, PDCSAP_FLUX, PDCSAP_FLUX_ERR

539.450515 2455372.450515 nan nan nan nan
539.470950 2455372.470950 40996.062500 6.821484 51756.816406 8.831407
539.491384 2455372.491384 41014.460938 6.822080 51750.000000 8.834068
539.511818 2455372.511818 40986.722656 6.820981 51716.898438 8.828586
539.532253 2455372.532253 40969.042969 6.820174 51722.917969 8.830226
539.552687 2455372.552687 40954.089844 6.819306 51734.511719 8.827503
539.573121 2455372.573121 40936.089844 6.818570 51748.996094 8.826017
539.593555 2455372.593555 40943.847656 6.818788 51764.656250 8.830068
539.613990 2455372.613990 40915.574219 6.817543 51735.781250 8.827601
539.634424 2455372.634424 40926.589844 6.818064 51737.996094 8.829538
539.654858 2455372.654858 40905.390625 6.817170 51708.660156 8.823059
539.675292 2455372.675292 40915.078125 6.817564 51704.875000 8.827087
539.695727 2455372.695727 40906.273438 6.817148 51696.578125 8.823545
539.716161 2455372.716161 40928.500000 6.818057 51726.019531 8.828471
539.736595 2455372.736595 40922.914062 6.817981 51721.835938 8.827511
539.757030 2455372.757030 40935.457031 6.818402 51748.625000 8.828357
539.777464 2455372.777464 40948.367188 6.819036 51771.128906 8.829628
539.797898 2455372.797898 40959.070312 6.819518 51798.117188 8.829192
539.818332 2455372.818332 40950.039062 6.819168 51782.609375 8.829284
539.838766 2455372.838766 40953.929688 6.819426 51787.761719 8.827835
539.859201 2455372.859201 40974.324219 6.820189 51800.703125 8.832338
539.879635 2455372.879635 40967.933594 6.820049 51781.441406 8.829336
539.900069 2455372.900069 40986.031250 6.820841 51792.898438 8.832615
539.920504 2455372.920504 40997.929688 6.821290 51806.960938 8.831132
539.940938 2455372.940938 40988.519531 6.820938 51793.179688 8.835441
539.961372 2455372.961372 41010.210938 6.822045 51833.550781 8.833154
539.981806 2455372.981806 41031.042969 6.822993 51876.644531 8.838042
540.002241 2455373.002241 41032.378906 6.823275 51885.707031 8.839866
540.022675 2455373.022675 41038.015625 6.823530 51906.878906 8.835226
540.043109 2455373.043109 41063.113281 6.824363 51929.355469 8.840479
540.063543 2455373.063543 41065.937500 6.824643 51939.453125 8.835648
540.083978 2455373.083978 41075.609375 6.824915 51941.476562 8.839695
540.104412 2455373.104412 41074.332031 6.824858 51944.585938 8.837993
540.124846 2455373.124846 41092.531250 6.825652 51968.187500 8.840576
540.145280 2455373.145280 41081.996094 6.825247 51950.281250 8.840105
540.165715 2455373.165715 41083.472656 6.825261 51956.378906 8.837959
540.186149 2455373.186149 41078.703125 6.824950 51958.492188 8.840953
540.206583 2455373.206583 41045.843750 6.823555 51930.667969 8.838572
540.227017 2455373.227017 41027.226562 6.822724 51915.773438 8.838350
540.247452 2455373.247452 41030.972656 6.822835 51934.847656 8.841053
540.267886 2455373.267886 41034.277344 6.822943 51938.945312 8.840563
540.288320 2455373.288320 40994.871094 6.821095 51886.363281 8.836985
540.308754 2455373.308754 40981.449219 6.820672 51847.835938 8.840268
540.329189 2455373.329189 40972.296875 6.820010 51819.687500 8.837931
540.349623 2455373.349623 40949.019531 6.819089 51767.425781 8.836412
540.370057 2455373.370057 40835.457031 6.818838 51622.796875 8.836950
540.390491 2455373.390491 40935.316406 6.818475 51759.406250 8.836117
540.410926 2455373.410926 40939.078125 6.818566 51776.125000 8.834834
540.431360 2455373.431360 40950.292969 6.819150 51816.042969 8.836605
540.451794 2455373.451794 40939.285156 6.818596 51803.589844 8.837277
540.472228 2455373.472228 40948.390625 6.818999 51820.843750 8.836135
540.492663 2455373.492663 40962.269531 6.819505 51832.878906 8.837332
540.513097 2455373.513097 40964.984375 6.819695 51831.886719 8.836316
540.533531 2455373.533531 40964.375000 6.819786 51822.398438 8.835998
540.553965 2455373.553965 40972.433594 6.820120 51832.929688 8.839916
540.574400 2455373.574400 40945.773438 6.818924 51804.832031 8.836183
540.594834 2455373.594834 40228.628906 6.783847 50878.671875 8.790295
540.615268 2455373.615268 38254.015625 6.684226 48318.500000 8.660807
540.635702 2455373.635702 35643.218750 6.552679 44928.898438 8.492926
540.656137 2455373.656137 32507.330078 6.399248 40861.343750 8.295973
540.676571 2455373.676571 29978.923828 6.254758 37565.562500 8.110022
540.697005 2455373.697005 28757.005859 6.189272 35984.019531 8.024144
540.717439 2455373.717439 28757.779297 6.189286 35983.238281 8.025023
540.737874 2455373.737874 29166.849609 6.210490 36518.964844 8.053185
540.758308 2455373.758308 31428.509766 6.334394 39463.109375 8.213607
