# Time, BJD, SAP_FLUX, SAP_FLUX_ERR, PDCSAP_FLUX, PDCSAP_FLUX_ERR

169.520668 2455002.520668 45333.074219 7.369929 nan nan
169.541102 2455002.541102 44648.843750 7.339713 nan nan
169.561537 2455002.561537 42594.718750 7.245565 nan nan
169.581971 2455002.581971 39739.097656 7.113193 nan nan
169.602405 2455002.602405 36505.203125 6.959230 nan nan
169.622839 2455002.622839 33452.488281 6.808842 nan nan
169.643274 2455002.643274 31862.992188 6.729802 nan nan
169.663708 2455002.663708 31817.646484 6.727850 nan nan
169.684142 2455002.684142 32133.531250 6.743148 nan nan
169.704576 2455002.704576 34460.804688 6.859987 nan nan
169.725011 2455002.725011 37431.570312 7.014690 nan nan
nan nan nan nan nan nan
169.765879 2455002.765879 43447.218750 7.282571 51365.667969 8.809958
169.786313 2455002.786313 45087.140625 7.361007 53327.742188 8.906285
169.806748 2455002.806748 45368.468750 7.372953 53670.820312 8.919923
169.827182 2455002.827182 45336.738281 7.371635 53618.761719 8.919202
169.847616 2455002.847616 45343.101562 7.371969 53630.136719 8.921184
169.868050 2455002.868050 45329.152344 7.371484 53596.359375 8.921973
169.888485 2455002.888485 45322.363281 7.371045 53615.550781 8.919823
169.908919 2455002.908919 45318.757812 7.370989 53596.316406 8.921396
169.929353 2455002.929353 45304.070312 7.370262 53602.699219 8.920197
169.949787 2455002.949787 45272.242188 7.368818 53555.750000 8.919876
169.970222 2455002.970222 45241.886719 7.367797 53534.425781 8.919619
169.990656 2455002.990656 45238.109375 7.367591 53529.250000 8.918553
170.011090 2455003.011090 45206.359375 7.365725 53502.867188 8.916862
170.031524 2455003.031524 45198.605469 7.364824 53493.429688 8.916080
170.051959 2455003.051959 45179.675781 7.364009 53480.304688 8.914514
170.072393 2455003.072393 45173.980469 7.363856 53461.500000 8.916711
170.092827 2455003.092827 45157.792969 7.363149 53447.800781 8.915236
170.113261 2455003.113261 45140.511719 7.362331 53428.742188 8.915468
170.133696 2455003.133696 45138.417969 7.362353 53441.015625 8.914330
170.154130 2455003.154130 45138.285156 7.362315 53452.085938 8.916209
170.174564 2455003.174564 nan nan nan nan
170.194998 2455003.194998 45157.378906 7.362976 53519.906250 8.916098
170.215433 2455003.215433 45157.667969 7.363107 53527.421875 8.916736
170.235867 2455003.235867 45157.699219 7.363226 53536.867188 8.918996
170.256301 2455003.256301 45185.011719 7.364299 53560.601562 8.920117
170.276735 2455003.276735 45203.453125 7.365042 53581.417969 8.921138
170.297170 2455003.297170 45226.070312 7.365898 53592.402344 8.921994
170.317604 2455003.317604 45232.105469 7.366410 53595.851562 8.922349
170.338038 2455003.338038 45244.925781 7.366834 53596.253906 8.923615
170.358472 2455003.358472 45225.500000 7.366196 53588.371094 8.922283
170.378907 2455003.378907 45256.531250 7.367411 53619.667969 8.924937
170.399341 2455003.399341 45246.765625 7.366881 53630.562500 8.925129
170.419775 2455003.419775 45232.218750 7.366414 53615.742188 8.924279
170.440209 2455003.440209 45223.574219 7.365915 53619.070312 8.923482
170.460643 2455003.460643 45227.675781 7.366220 53605.781250 8.926260
170.481078 2455003.481078 45213.289062 7.365620 53593.839844 8.925187
