# Time, BJD, SAP_FLUX, SAP_FLUX_ERR, PDCSAP_FLUX, PDCSAP_FLUX_ERR

1001.208822 2455834.208822 47402.101562 7.506922 nan nan
1001.229254 2455834.229254 47386.210938 7.505419 54905.703125 8.528082
1001.249687 2455834.249687 47447.996094 7.508674 54954.273438 8.531084
1001.270120 2455834.270120 47460.695312 7.508272 54984.292969 8.530827
1001.290553 2455834.290553 47484.636719 7.510289 55017.562500 8.532790
1001.310986 2455834.310986 47512.574219 7.511487 55053.402344 8.533837
1001.331419 2455834.331419 47507.445312 7.510440 55074.468750 8.533843
1001.351852 2455834.351852 47549.757812 7.512854 55108.875000 8.535484
1001.372285 2455834.372285 47532.000000 7.511283 55107.914062 8.534617
1001.392717 2455834.392717 47546.371094 7.512443 55117.582031 8.535053
1001.413150 2455834.413150 47539.621094 7.511678 55109.367188 8.535594
1001.433583 2455834.433583 47520.609375 7.510720 55096.195312 8.534855
1001.454016 2455834.454016 47531.093750 7.511374 55080.937500 8.535423
1001.474449 2455834.474449 47505.296875 7.510197 55066.843750 8.534363
1001.494882 2455834.494882 47507.085938 7.510336 55057.167969 8.534355
1001.515315 2455834.515315 47495.765625 7.509897 55051.558594 8.533436
1001.535747 2455834.535747 47489.085938 7.509768 55051.472656 8.534386
1001.556180 2455834.556180 47524.742188 7.511163 55072.039062 8.535815
1001.576613 2455834.576613 47499.289062 7.510169 55062.472656 8.535141
1001.597046 2455834.597046 47525.832031 7.511235 55080.261719 8.536049
1001.617479 2455834.617479 47540.078125 7.511711 55109.796875 8.537275
1001.637912 2455834.637912 47538.921875 7.511736 55125.621094 8.537271
1001.658345 2455834.658345 47573.523438 7.513243 55162.992188 8.538875
1001.678777 2455834.678777 47567.371094 7.512721 55189.433594 8.538918
1001.699210 2455834.699210 47571.183594 7.513155 55185.066406 8.539581
1001.719643 2455834.719643 47544.792969 7.511913 55163.464844 8.538158
1001.740076 2455834.740076 47531.031250 7.511312 55141.851562 8.536472
1001.760509 2455834.760509 47524.933594 7.510576 55106.714844 8.535991
1001.780942 2455834.780942 47492.394531 7.508706 55078.707031 8.533697
1001.801375 2455834.801375 47497.742188 7.508892 55062.273438 8.534378
1001.821807 2455834.821807 47453.746094 7.507095 55026.082031 8.531744
1001.842240 2455834.842240 47417.234375 7.505519 54995.667969 8.530118
1001.862673 2455834.862673 47421.843750 7.505748 55002.468750 8.529642
1001.883106 2455834.883106 47390.136719 7.504450 54994.761719 8.528604
1001.903539 2455834.903539 47404.859375 7.505024 55001.949219 8.529275
1001.923972 2455834.923972 47374.406250 7.503797 54991.296875 8.527369
1001.944405 2455834.944405 47477.832031 7.508069 55113.339844 8.533080
1001.964837 2455834.964837 47719.828125 7.518580 55382.089844 8.544027
1001.985270 2455834.985270 47492.214844 7.508756 55137.664062 8.533854
1002.005703 2455835.005703 47476.953125 7.508128 55095.082031 8.532793
1002.026136 2455835.026136 47522.773438 7.510088 55161.046875 8.535336
1002.046569 2455835.046569 47510.054688 7.509483 55133.960938 8.534925
1002.067002 2455835.067002 47533.394531 7.510303 55152.187500 8.535484
1002.087434 2455835.087434 47511.437500 7.509746 55134.640625 8.535793
1002.107867 2455835.107867 47553.097656 7.511703 55161.023438 8.536188
1002.128300 2455835.128300 47526.097656 7.510327 55153.863281 8.536272
1002.148733 2455835.148733 47520.445312 7.510359 55142.109375 8.535572
1002.169166 2455835.169166 47525.789062 7.510227 55154.019531 8.535028
1002.189599 2455835.189599 47528.406250 7.510206 55168.058594 8.536144
1002.210032 2455835.210032 47535.863281 7.510604 55160.437500 8.536109
1002.230464 2455835.230464 47512.613281 7.509748 55152.882812 8.535691
