# Time, BJD, SAP_FLUX, SAP_FLUX_ERR, PDCSAP_FLUX, PDCSAP_FLUX_ERR

1099.408074 2455932.408074 47627.050781 7.526645 nan nan
1099.428507 2455932.428507 47629.917969 7.526978 56032.925781 8.760568
1099.448940 2455932.448940 47637.671875 7.527204 55946.046875 8.760610
1099.469373 2455932.469373 47628.289062 7.526818 55902.902344 8.758819
1099.489806 2455932.489806 47632.550781 7.526941 55910.605469 8.760481
1099.510239 2455932.510239 47615.128906 7.526224 55895.785156 8.760179
1099.530672 2455932.530672 47604.925781 7.525883 55918.984375 8.761425
1099.551105 2455932.551105 47588.058594 7.525022 55916.820312 8.762041
1099.571538 2455932.571538 47555.886719 7.523767 55891.160156 8.758422
1099.591971 2455932.591971 47535.988281 7.522881 55877.730469 8.756581
1099.612404 2455932.612404 47522.816406 7.522416 55859.347656 8.756804
1099.632837 2455932.632837 47490.937500 7.521125 55820.640625 8.756216
1099.653270 2455932.653270 47473.296875 7.520420 55791.609375 8.758090
1099.673703 2455932.673703 47466.488281 7.520144 55788.699219 8.756436
1099.694136 2455932.694136 47454.386719 7.517697 55769.218750 8.752820
1099.714568 2455932.714568 47421.843750 7.516355 55752.691406 8.753409
1099.735001 2455932.735001 47430.375000 7.516695 55776.898438 8.753872
1099.755434 2455932.755434 47435.027344 7.517018 55813.453125 8.755316
1099.775867 2455932.775867 47442.343750 7.517199 55840.730469 8.755302
1099.796300 2455932.796300 47448.292969 7.517511 55871.585938 8.756326
1099.816733 2455932.816733 47456.847656 7.517863 55879.992188 8.755775
1099.837166 2455932.837166 47473.023438 7.518554 55896.675781 8.758389
1099.857599 2455932.857599 47487.718750 7.519155 55911.343750 8.759086
1099.878032 2455932.878032 47488.167969 7.519169 55912.488281 8.759981
1099.898465 2455932.898465 47501.964844 7.519762 55927.515625 8.761163
1099.918898 2455932.918898 47519.582031 7.520450 55966.777344 8.762970
1099.939331 2455932.939331 47515.707031 7.520305 55979.511719 8.763556
1099.959764 2455932.959764 47521.386719 7.520636 56006.542969 8.763438
1099.980197 2455932.980197 47537.445312 7.521228 56044.468750 8.765254
1100.000629 2455933.000629 47563.445312 7.522321 56084.394531 8.765602
1100.021062 2455933.021062 47586.699219 7.523437 56115.117188 8.767283
1100.041495 2455933.041495 47595.242188 7.525312 56129.480469 8.769360
1100.061928 2455933.061928 47612.425781 7.525927 56143.867188 8.772089
1100.082361 2455933.082361 47624.050781 7.526556 56169.035156 8.771298
1100.102794 2455933.102794 47638.644531 7.527002 56203.984375 8.772113
1100.123227 2455933.123227 47671.042969 7.528347 56260.937500 8.774995
1100.143660 2455933.143660 47668.203125 7.528500 56273.867188 8.775254
1100.164093 2455933.164093 47694.445312 7.529396 56326.859375 8.775438
1100.184526 2455933.184526 47691.195312 7.529541 56322.585938 8.776609
1100.204959 2455933.204959 47686.179688 7.529218 56327.976562 8.777331
1100.225392 2455933.225392 47708.515625 7.530024 56353.777344 8.778768
1100.245825 2455933.245825 47673.933594 7.528903 56312.042969 8.778012
1100.266258 2455933.266258 47653.453125 7.527922 56305.949219 8.775843
1100.286690 2455933.286690 47655.613281 7.527822 56316.917969 8.776438
1100.307123 2455933.307123 47632.542969 7.527025 56291.613281 8.776095
1100.327556 2455933.327556 47596.925781 7.525463 56266.515625 8.774014
1100.347989 2455933.347989 47585.546875 7.524973 56256.832031 8.774531
1100.368422 2455933.368422 47548.605469 7.523579 56214.710938 8.773974
1100.388855 2455933.388855 47540.007812 7.523383 56205.496094 8.772836
1100.409288 2455933.409288 47498.128906 7.521502 56166.949219 8.769832
1100.429721 2455933.429721 47508.179688 7.521798 56182.171875 8.771132
1100.450154 2455933.450154 47495.710938 7.521320 56180.078125 8.771150
1100.470587 2455933.470587 47482.929688 7.520932 56177.152344 8.770433
1100.491020 2455933.491020 47509.789062 7.522020 56218.648438 8.771802
1100.511453 2455933.511453 47536.867188 7.523227 56259.132812 8.774632
1100.531886 2455933.531886 47524.699219 7.522695 56233.542969 8.774134
1100.552319 2455933.552319 47517.363281 7.522408 56243.628906 8.773140
1100.572752 2455933.572752 47530.781250 7.522907 56252.523438 8.773453
1100.593185 2455933.593185 47541.617188 7.523377 56270.968750 8.774071
1100.613617 2455933.613617 47590.199219 7.525398 56335.863281 8.776751
1100.634050 2455933.634050 47562.109375 7.524176 56291.410156 8.776395
1100.654483 2455933.654483 47581.152344 7.526052 56318.156250 8.778275
1100.674916 2455933.674916 47579.718750 7.525526 56315.023438 8.777011
1100.695349 2455933.695349 47589.238281 7.526368 56318.132812 8.778913
1100.715782 2455933.715782 47587.046875 7.526420 56330.042969 8.778728
1100.736215 2455933.736215 47605.761719 7.527222 56357.300781 8.779738
1100.756648 2455933.756648 47616.527344 7.527637 56380.144531 8.781315
1100.777081 2455933.777081 47648.835938 7.528971 56427.117188 8.783292
1100.797514 2455933.797514 47649.433594 7.528876 56448.871094 8.782146
1100.817947 2455933.817947 47671.683594 7.529928 56473.800781 8.784049
1100.838380 2455933.838380 47682.113281 7.530575 56487.410156 8.784470
1100.858813 2455933.858813 47703.019531 7.531452 56506.070312 8.785377
1100.879246 2455933.879246 47727.964844 7.532326 56536.734375 8.786068
1100.899679 2455933.899679 47727.984375 7.532424 56541.562500 8.786627
1100.920112 2455933.920112 47748.199219 7.533333 56559.003906 8.789205
1100.940545 2455933.940545 47736.718750 7.532769 56567.683594 8.786981
1100.960978 2455933.960978 47754.066406 7.533557 56587.765625 8.789188
1100.981411 2455933.981411 47720.734375 7.532181 56563.574219 8.787096
1101.001843 2455934.001843 47700.320312 7.531342 56542.871094 8.786189
1101.022276 2455934.022276 47692.718750 7.531041 56527.925781 8.785746
1101.042709 2455934.042709 47658.453125 7.529842 56477.589844 8.785101
1101.063142 2455934.063142 47643.203125 7.528872 56467.898438 8.783537
1101.083575 2455934.083575 47605.039062 7.527552 56413.687500 8.782077
1101.104008 2455934.104008 47591.515625 7.526877 56397.511719 8.781815
1101.124441 2455934.124441 47559.195312 7.525509 56366.847656 8.781197
1101.144874 2455934.144874 47548.902344 7.525035 56351.812500 8.780126
1101.165307 2455934.165307 47532.132812 7.524546 56343.804688 8.780452
1101.185740 2455934.185740 47540.523438 7.524798 56363.238281 8.779634
1101.206173 2455934.206173 47545.683594 7.524963 56366.335938 8.780786
1101.226606 2455934.226606 47527.941406 7.524295 56360.921875 8.779620
1101.247039 2455934.247039 47527.035156 7.524424 56366.972656 8.780460
1101.267472 2455934.267472 47552.027344 7.525408 56378.472656 8.781991
1101.287905 2455934.287905 47568.414062 7.526087 56414.718750 8.781681
1101.308338 2455934.308338 47542.414062 7.525114 56379.050781 8.781460
1101.328771 2455934.328771 47581.703125 7.526669 56412.304688 8.783530
1101.349204 2455934.349204 nan nan nan nan
1101.369637 2455934.369637 47598.097656 7.527464 56426.925781 8.783243
1101.390069 2455934.390069 47610.699219 7.527813 56435.863281 8.785046
1101.410502 2455934.410502 47608.500000 7.528062 56434.589844 8.784810
1101.430935 2455934.430935 47610.554688 7.528224 56429.546875 8.784404
1101.451368 2455934.451368 47619.628906 7.528416 56449.722656 8.784389
1101.471801 2455934.471801 47628.320312 7.529063 56460.980469 8.785604
1101.492234 2455934.492234 47654.351562 7.530162 56495.222656 8.786775
1101.512667 2455934.512667 47672.968750 7.530801 56520.007812 8.788150
1101.533100 2455934.533100 47681.550781 7.531241 56524.558594 8.788157
1101.553533 2455934.553533 47699.933594 7.532159 56531.261719 8.789330
1101.573966 2455934.573966 47720.617188 7.533040 56552.921875 8.789600
1101.594399 2455934.594399 47728.750000 7.533474 56562.460938 8.790183
1101.614832 2455934.614832 47752.546875 7.534348 56580.910156 8.792237
1101.635265 2455934.635265 47761.761719 7.534704 56595.710938 8.792748
1101.655698 2455934.655698 47762.863281 7.534954 56589.980469 8.793398
1101.676131 2455934.676131 47766.589844 7.535057 56582.992188 8.794191
1101.696564 2455934.696564 47764.484375 7.535116 56576.882812 8.793295
1101.716997 2455934.716997 47744.425781 7.534183 56540.929688 8.793148
1101.737430 2455934.737430 47730.566406 7.533661 56519.070312 8.790934
1101.757863 2455934.757863 47723.644531 7.533431 56520.296875 8.792372
1101.778296 2455934.778296 47700.218750 7.532437 56496.050781 8.790512
1101.798729 2455934.798729 47657.023438 7.530634 56452.527344 8.788392
1101.819162 2455934.819162 47630.007812 7.529760 56432.476562 8.788568
1101.839594 2455934.839594 47611.117188 7.529014 56408.964844 8.787573
1101.860028 2455934.860028 47590.160156 7.527976 56393.574219 8.785720
1101.880460 2455934.880460 47581.574219 7.527627 56372.968750 8.785384
1101.900893 2455934.900893 47576.269531 7.527341 56368.753906 8.785286
1101.921326 2455934.921326 47570.675781 7.527228 56373.234375 8.784565
1101.941759 2455934.941759 47561.664062 7.526927 56358.882812 8.785164
1101.962192 2455934.962192 47561.660156 7.527178 56355.417969 8.785884
1101.982625 2455934.982625 47566.832031 7.527267 56365.484375 8.785259
1102.003058 2455935.003058 47575.191406 7.527515 56373.074219 8.785881
1102.023491 2455935.023491 47570.574219 7.527395 56374.367188 8.785486
1102.043924 2455935.043924 47464.050781 7.521658 56254.660156 8.779219
1102.064357 2455935.064357 46817.343750 7.493795 55504.062500 8.747393
1102.084790 2455935.084790 45772.660156 7.446363 54296.750000 8.691850
1102.105223 2455935.105223 44407.183594 7.388526 52700.300781 8.624077
1102.125656 2455935.125656 42797.964844 7.314837 50817.105469 8.538482
1102.146089 2455935.146089 41030.117188 7.234153 48755.332031 8.444438
1102.166522 2455935.166522 39114.097656 7.144592 46494.632812 8.340413
1102.186955 2455935.186955 37143.894531 7.053793 44185.683594 8.234762
1102.207388 2455935.207388 35181.898438 6.960686 41887.996094 8.126259
1102.227821 2455935.227821 33364.437500 6.870533 39766.792969 8.022344
1102.248254 2455935.248254 32018.191406 6.805982 38199.808594 7.947117
1102.268687 2455935.268687 31571.664062 6.784909 37686.742188 7.921915
1102.289120 2455935.289120 31536.417969 6.783274 37636.308594 7.920732
1102.309553 2455935.309553 31834.873047 6.797206 37981.843750 7.936222
1102.329986 2455935.329986 32887.628906 6.848265 39206.636719 7.995439
1102.350419 2455935.350419 34600.261719 6.932216 41199.332031 8.093928
1102.370852 2455935.370852 36560.433594 7.027353 43500.960938 8.204327
1102.391284 2455935.391284 38543.179688 7.118127 45827.281250 8.310719
1102.411718 2455935.411718 40498.105469 7.209743 48127.968750 8.416984
1102.432150 2455935.432150 42330.457031 7.292983 50289.906250 8.514273
1102.452583 2455935.452583 43986.128906 7.367525 52229.074219 8.600405
1102.473016 2455935.473016 45444.863281 7.432429 53920.605469 8.677056
1102.493449 2455935.493449 46605.433594 7.484646 55266.339844 8.737180
1102.513882 2455935.513882 47407.710938 7.519201 56192.378906 8.778119
1102.534315 2455935.534315 47692.167969 7.530862 56518.898438 8.790497
1102.554748 2455935.554748 47662.562500 7.529665 56488.265625 8.789863
1102.575181 2455935.575181 47642.171875 7.528991 56475.515625 8.789552
1102.595614 2455935.595614 47621.636719 7.528149 56464.886719 8.787997
1102.616047 2455935.616047 47599.699219 7.527143 56449.699219 8.787019
1102.636480 2455935.636480 47600.937500 7.527304 56445.285156 8.787771
1102.656913 2455935.656913 47591.070312 7.526893 56431.261719 8.786417
1102.677346 2455935.677346 47583.460938 7.526465 56403.253906 8.786522
1102.697779 2455935.697779 47585.640625 7.526750 56387.140625 8.787423
1102.718212 2455935.718212 47585.546875 7.526678 56381.636719 8.786252
1102.738645 2455935.738645 47610.101562 7.527676 56406.003906 8.788181
1102.759078 2455935.759078 47631.125000 7.528611 56440.390625 8.789672
1102.779511 2455935.779511 47615.531250 7.528060 56438.207031 8.788713
1102.799944 2455935.799944 47639.875000 7.529045 56469.070312 8.790496
1102.820377 2455935.820377 47651.125000 7.529525 56504.671875 8.790730
1102.840810 2455935.840810 47642.671875 7.529225 56506.195312 8.789920
1102.861243 2455935.861243 47661.652344 7.529881 56517.347656 8.791203
1102.881676 2455935.881676 47656.000000 7.529747 56514.828125 8.790413
1102.902109 2455935.902109 47674.835938 7.530523 56527.160156 8.791839
1102.922542 2455935.922542 47684.347656 7.530902 56531.136719 8.792264
1102.942975 2455935.942975 47686.300781 7.531027 56538.296875 8.792439
1102.963408 2455935.963408 nan nan nan nan
1102.983841 2455935.983841 47729.566406 7.533037 56587.835938 8.794972
1103.004274 2455936.004274 47755.406250 7.534143 56615.667969 8.796743
1103.024707 2455936.024707 47769.960938 7.534571 56634.558594 8.797050
1103.045140 2455936.045140 47808.269531 7.536156 56671.273438 8.798441
1103.065573 2455936.065573 47808.285156 7.536209 56667.152344 8.799147
1103.086006 2455936.086006 47833.234375 7.537183 56688.988281 8.800589
1103.106439 2455936.106439 47849.472656 7.538032 56717.281250 8.801515
1103.126872 2455936.126872 47848.546875 7.538056 56723.179688 8.801439
1103.147305 2455936.147305 47824.777344 7.537057 56704.687500 8.800465
1103.167738 2455936.167738 47816.425781 7.536727 56703.203125 8.800152
1103.188171 2455936.188171 47802.746094 7.536255 56696.054688 8.799207
1103.208604 2455936.208604 47785.828125 7.535408 56681.527344 8.798643
