# Time, BJD, SAP_FLUX, SAP_FLUX_ERR, PDCSAP_FLUX, PDCSAP_FLUX_ERR

352.376260 2455185.376260 37932.378906 6.346691 nan nan
352.396693 2455185.396693 37933.667969 6.346875 56499.710938 8.877672
352.417126 2455185.417126 nan nan nan nan
352.437559 2455185.437559 37895.933594 6.344939 56444.101562 8.874632
352.457992 2455185.457992 37902.597656 6.345236 56452.257812 8.875095
352.478425 2455185.478425 37889.000000 6.344525 56427.710938 8.874328
352.498857 2455185.498857 37869.226562 6.343602 56400.066406 8.873559
352.519290 2455185.519290 37855.929688 6.342915 56379.082031 8.873260
352.539723 2455185.539723 37835.238281 6.342030 56341.609375 8.871982
352.560156 2455185.560156 37819.605469 6.341185 56323.507812 8.871228
352.580589 2455185.580589 37826.957031 6.341568 56331.425781 8.872345
352.601022 2455185.601022 37804.972656 6.340473 56296.085938 8.871114
352.621455 2455185.621455 37814.726562 6.341052 56307.214844 8.872106
352.641888 2455185.641888 37840.320312 6.342305 56341.585938 8.873763
352.662320 2455185.662320 37845.386719 6.342457 56347.660156 8.873986
352.682753 2455185.682753 37842.191406 6.342488 56339.312500 8.874986
352.703186 2455185.703186 37860.066406 6.343439 56364.843750 8.875774
352.723619 2455185.723619 37879.117188 6.344283 56391.343750 8.876826
352.744052 2455185.744052 37890.347656 6.344864 56404.843750 8.877819
352.764485 2455185.764485 37916.007812 6.346079 56434.945312 8.880735
352.784918 2455185.784918 37936.164062 6.347089 56462.351562 8.882325
352.805350 2455185.805350 37940.683594 6.347370 56472.835938 8.881640
352.825783 2455185.825783 37961.062500 6.348472 56494.921875 8.883459
352.846216 2455185.846216 37971.039062 6.348849 56503.320312 8.883997
352.866649 2455185.866649 38028.273438 6.351728 56585.347656 8.888012
352.887082 2455185.887082 38182.253906 6.359227 56799.625000 8.898286
352.907515 2455185.907515 38076.914062 6.354198 56645.898438 8.891788
352.927948 2455185.927948 38042.523438 6.352613 56599.859375 8.890325
352.948381 2455185.948381 38044.000000 6.352657 56599.031250 8.889779
352.968814 2455185.968814 38038.640625 6.352315 56590.812500 8.889441
352.989246 2455185.989246 nan nan nan nan
353.009679 2455186.009679 38020.031250 6.351404 56562.867188 8.888427
353.030112 2455186.030112 38007.187500 6.350915 56544.621094 8.887943
353.050545 2455186.050545 38015.199219 6.351063 56551.707031 8.888119
353.070978 2455186.070978 37994.933594 6.350201 56518.164062 8.886985
353.091411 2455186.091411 38003.046875 6.350552 56529.789062 8.887691
353.111844 2455186.111844 37980.984375 6.349605 56499.273438 8.885499
353.132276 2455186.132276 37981.386719 6.349552 56498.476562 8.885632
353.152709 2455186.152709 37970.027344 6.349022 56480.757812 8.884237
353.173142 2455186.173142 37943.472656 6.347614 56438.476562 8.882888
353.193575 2455186.193575 37941.218750 6.347483 56434.027344 8.882326
353.214008 2455186.214008 37939.316406 6.347572 56431.148438 8.883563
353.234441 2455186.234441 37915.828125 6.346395 56394.250000 8.880960
353.254874 2455186.254874 37896.964844 6.345479 56364.148438 8.881199
353.275307 2455186.275307 37907.214844 6.345901 56381.074219 8.879929
353.295740 2455186.295740 37887.343750 6.345005 56356.835938 8.879642
353.316172 2455186.316172 37876.578125 6.344461 56335.550781 8.879309
353.336605 2455186.336605 37874.585938 6.344429 56328.488281 8.878672
353.357038 2455186.357038 37873.390625 6.344399 56324.378906 8.879704
353.377471 2455186.377471 37885.761719 6.345061 56345.082031 8.879695
353.397904 2455186.397904 37905.101562 6.345960 56370.878906 8.880606
353.418337 2455186.418337 37909.648438 6.346179 56373.292969 8.881927
353.438770 2455186.438770 37920.355469 6.347173 56387.562500 8.883117
353.459202 2455186.459202 37944.058594 6.347821 56416.609375 8.884826
353.479635 2455186.479635 37953.671875 6.348267 56425.363281 8.884483
353.500068 2455186.500068 37988.812500 6.350082 56476.328125 8.887069
353.520501 2455186.520501 38002.054688 6.350739 56496.832031 8.888813
353.540934 2455186.540934 38006.617188 6.350865 56499.898438 8.887729
353.561367 2455186.561367 38012.390625 6.351255 56504.707031 8.888957
353.581800 2455186.581800 38021.972656 6.351870 56512.046875 8.891273
353.602233 2455186.602233 38028.183594 6.352024 56520.378906 8.890812
353.622666 2455186.622666 38037.507812 6.352468 56535.121094 8.890262
353.643098 2455186.643098 38049.871094 6.353151 56547.789062 8.892482
353.663531 2455186.663531 38065.886719 6.353990 56570.179688 8.893934
353.683964 2455186.683964 38072.601562 6.354266 56576.519531 8.893872
353.704397 2455186.704397 38073.769531 6.354338 56576.421875 8.893381
353.724830 2455186.724830 38078.691406 6.354713 56581.605469 8.894927
353.745263 2455186.745263 38071.574219 6.354217 56571.429688 8.893255
353.765696 2455186.765696 38067.324219 6.354086 56561.730469 8.894094
353.786129 2455186.786129 nan nan nan nan
353.806561 2455186.806561 38051.718750 6.353275 56536.691406 8.893000
353.826994 2455186.826994 38040.574219 6.352848 56520.289062 8.892610
353.847427 2455186.847427 38027.925781 6.352310 56500.261719 8.891838
353.867860 2455186.867860 38018.882812 6.351942 56485.554688 8.891367
353.888293 2455186.888293 38012.632812 6.351457 56471.699219 8.890450
353.908726 2455186.908726 38003.843750 6.351071 56461.714844 8.891329
353.929159 2455186.929159 37991.292969 6.350412 56441.839844 8.888892
353.949592 2455186.949592 37968.777344 6.349422 56409.410156 8.889582
353.970025 2455186.970025 37960.464844 6.348968 56394.945312 8.887747
353.990458 2455186.990458 37954.710938 6.348690 56385.003906 8.887949
354.010890 2455187.010890 37953.312500 6.348678 56380.039062 8.887209
354.031323 2455187.031323 37949.265625 6.348395 56374.589844 8.887295
354.051756 2455187.051756 37928.167969 6.347451 56338.777344 8.886857
354.072189 2455187.072189 37924.371094 6.347229 56332.843750 8.886118
354.092622 2455187.092622 37920.031250 6.347081 56327.828125 8.884859
354.113055 2455187.113055 37939.648438 6.347919 56353.734375 8.886883
354.133488 2455187.133488 37951.617188 6.348728 56367.652344 8.888499
354.153921 2455187.153921 37949.984375 6.348562 56362.417969 8.888063
354.174353 2455187.174353 37970.839844 6.349759 56389.781250 8.890869
354.194786 2455187.194786 37988.640625 6.350531 56414.835938 8.890695
354.215219 2455187.215219 37999.316406 6.351097 56430.730469 8.891785
354.235652 2455187.235652 38019.214844 6.352039 56454.703125 8.893446
354.256085 2455187.256085 38025.835938 6.352403 56461.078125 8.893357
354.276518 2455187.276518 38048.207031 6.353571 56490.886719 8.895520
354.296951 2455187.296951 38051.406250 6.353648 56493.175781 8.896407
354.317384 2455187.317384 38068.214844 6.354452 56516.312500 8.897415
354.337817 2455187.337817 38080.753906 6.355238 56532.214844 8.898005
354.358250 2455187.358250 38083.187500 6.355328 56535.273438 8.899442
354.378682 2455187.378682 38079.890625 6.355180 56528.140625 8.897254
354.399115 2455187.399115 38089.593750 6.355605 56534.156250 8.898344
354.419548 2455187.419548 38090.343750 6.355642 56533.894531 8.899442
354.439981 2455187.439981 38096.246094 6.356092 56541.742188 8.899662
354.460414 2455187.460414 38093.742188 6.355847 56533.917969 8.899353
354.480847 2455187.480847 38094.960938 6.355953 56537.484375 8.899699
354.501280 2455187.501280 38102.738281 6.356283 56547.714844 8.899217
354.521713 2455187.521713 38085.972656 6.355528 56519.179688 8.899139
354.542146 2455187.542146 38079.765625 6.355278 56509.847656 8.899590
354.562579 2455187.562579 38060.089844 6.354259 56481.160156 8.897436
354.583011 2455187.583011 38069.902344 6.354778 56493.261719 8.898623
354.603444 2455187.603444 38060.062500 6.354239 56474.667969 8.897008
354.623877 2455187.623877 38030.871094 6.352807 56432.972656 8.895361
354.644310 2455187.644310 38041.515625 6.353355 56443.941406 8.896378
354.664743 2455187.664743 38018.425781 6.352217 56412.320312 8.895477
354.685176 2455187.685176 38008.765625 6.351751 56395.535156 8.894796
354.705609 2455187.705609 37985.140625 6.350723 56360.855469 8.893264
354.726042 2455187.726042 37973.335938 6.350139 56345.402344 8.891666
354.746475 2455187.746475 37959.085938 6.349353 56322.074219 8.891355
354.766907 2455187.766907 37951.476562 6.349024 56308.675781 8.891373
354.787340 2455187.787340 37941.011719 6.348393 56296.929688 8.889081
354.807773 2455187.807773 37943.320312 6.348655 56295.292969 8.889905
354.828206 2455187.828206 37951.273438 6.349139 56304.320312 8.891162
354.848639 2455187.848639 37955.042969 6.349316 56307.988281 8.891357
354.869072 2455187.869072 37963.535156 6.349575 56315.562500 8.892116
354.889505 2455187.889505 37979.539062 6.350532 56339.187500 8.893970
354.909938 2455187.909938 37995.757812 6.351348 56355.539062 8.893627
354.930371 2455187.930371 38009.750000 6.351951 56376.902344 8.895819
354.950804 2455187.950804 38025.277344 6.352852 56396.332031 8.897195
354.971236 2455187.971236 38023.015625 6.352707 56390.320312 8.897260
354.991669 2455187.991669 38073.269531 6.355140 56457.367188 8.899884
355.012102 2455188.012102 38057.695312 6.354335 56436.648438 8.898762
355.032535 2455188.032535 38085.250000 6.355874 56473.023438 8.901599
355.052968 2455188.052968 38023.679688 6.352767 56382.542969 8.897098
355.073401 2455188.073401 37055.613281 6.302379 55025.921875 8.826614
355.093834 2455188.093834 35072.457031 6.197849 52241.859375 8.681192
355.114267 2455188.114267 32547.220703 6.060663 48696.683594 8.489199
355.134700 2455188.134700 29805.369141 5.908497 44851.875000 8.276495
355.155133 2455188.155133 27450.664062 5.775913 41545.492188 8.092109
355.175566 2455188.175566 26702.546875 5.732386 40495.027344 8.031701
355.195998 2455188.195998 26710.814453 5.732719 40505.929688 8.031514
355.216431 2455188.216431 27401.160156 5.773453 41470.820312 8.088862
355.236864 2455188.236864 29751.511719 5.905636 44765.132812 8.273676
355.257297 2455188.257297 32478.339844 6.057116 48586.890625 8.484540
355.277730 2455188.277730 35033.031250 6.196008 52168.230469 8.678668
355.298163 2455188.298163 37029.066406 6.301095 54967.011719 8.825721
355.318596 2455188.318596 38016.199219 6.352505 56349.386719 8.896959
355.339029 2455188.339029 38086.425781 6.356021 56448.664062 8.903053
355.359462 2455188.359462 38086.304688 6.355935 56442.664062 8.902373
355.379895 2455188.379895 38046.761719 6.354114 56387.957031 8.900882
355.400327 2455188.400327 nan nan nan nan
355.420760 2455188.420760 38030.605469 6.353344 56359.546875 8.899899
355.441193 2455188.441193 38043.117188 6.353906 56377.230469 8.900132
355.461626 2455188.461626 38005.554688 6.351947 56322.062500 8.897591
355.482059 2455188.482059 37992.171875 6.351466 56300.953125 8.896950
355.502492 2455188.502492 37992.003906 6.351460 56300.828125 8.896996
355.522925 2455188.522925 37978.914062 6.350859 56278.074219 8.895913
355.543358 2455188.543358 37978.031250 6.350741 56277.195312 8.896005
355.563791 2455188.563791 37983.855469 6.351076 56282.535156 8.896467
355.584224 2455188.584224 37986.761719 6.351336 56284.097656 8.896464
355.604657 2455188.604657 37994.898438 6.351659 56294.722656 8.896211
355.625090 2455188.625090 38017.136719 6.352816 56321.390625 8.898945
355.645522 2455188.645522 38011.160156 6.352571 56313.929688 8.898732
355.665955 2455188.665955 38050.640625 6.354435 56368.449219 8.900834
355.686388 2455188.686388 38062.156250 6.354964 56381.765625 8.901781
355.706821 2455188.706821 38088.214844 6.356381 56418.566406 8.904400
355.727254 2455188.727254 38111.292969 6.357485 56446.558594 8.905470
355.747687 2455188.747687 38110.460938 6.359106 56443.914062 8.908136
355.768120 2455188.768120 38127.359375 6.359976 56466.062500 8.909550
355.788553 2455188.788553 38142.941406 6.360710 56488.101562 8.909845
355.808986 2455188.808986 38147.214844 6.360940 56490.382812 8.910859
355.829419 2455188.829419 38146.226562 6.360925 56485.796875 8.910095
355.849852 2455188.849852 38150.960938 6.361210 56490.359375 8.910865
355.870284 2455188.870284 38158.632812 6.361561 56499.785156 8.911312
355.890717 2455188.890717 38180.277344 6.362651 56529.609375 8.912791
355.911150 2455188.911150 38174.101562 6.362451 56518.214844 8.913416
355.931583 2455188.931583 38181.359375 6.362619 56527.304688 8.913257
355.952016 2455188.952016 38170.562500 6.362176 56511.726562 8.912835
355.972449 2455188.972449 38176.312500 6.362478 56515.300781 8.912920
