# Time, BJD, SAP_FLUX, SAP_FLUX_ERR, PDCSAP_FLUX, PDCSAP_FLUX_ERR

735.362847 2455568.362847 46124.296875 7.250480 nan nan
735.383280 2455568.383280 46138.593750 7.251134 56482.460938 8.724697
735.403713 2455568.403713 46153.746094 7.251928 56410.441406 8.722551
735.424146 2455568.424146 46158.546875 7.253666 56389.734375 8.728428
735.444579 2455568.444579 46162.496094 7.253841 56424.980469 8.740283
735.465012 2455568.465012 46161.132812 7.253793 56476.253906 8.737310
735.485445 2455568.485445 46183.355469 7.254763 56544.109375 8.742353
735.505878 2455568.505878 46180.593750 7.254692 56573.660156 8.748445
735.526311 2455568.526311 46184.398438 7.254802 56594.230469 8.759216
735.546744 2455568.546744 46192.667969 7.255226 56604.425781 8.758006
735.567177 2455568.567177 46207.832031 7.255969 56634.171875 8.758108
735.587610 2455568.587610 46192.671875 7.255404 56621.339844 8.763887
735.608043 2455568.608043 46190.566406 7.255245 56627.554688 8.771120
735.628476 2455568.628476 46176.195312 7.254827 56627.718750 8.770373
735.648909 2455568.648909 46179.593750 7.254832 56643.187500 8.770910
735.669342 2455568.669342 46155.027344 7.253786 56619.410156 8.780993
735.689775 2455568.689775 46149.023438 7.253530 56633.550781 8.775957
735.710208 2455568.710208 46139.703125 7.253124 56628.824219 8.778019
735.730642 2455568.730642 46137.421875 7.253133 56639.343750 8.785544
735.751075 2455568.751075 46123.433594 7.251591 56644.078125 8.782430
735.771508 2455568.771508 46099.660156 7.249461 56627.246094 8.777898
735.791941 2455568.791941 46104.027344 7.249773 56643.996094 8.787764
735.812374 2455568.812374 46117.933594 7.250152 56673.601562 8.787097
735.832807 2455568.832807 46117.664062 7.250249 56674.433594 8.791606
735.853240 2455568.853240 46119.054688 7.250455 56683.867188 8.793237
735.873673 2455568.873673 46138.167969 7.251212 56713.351562 8.795699
735.894106 2455568.894106 46138.878906 7.251262 56715.398438 8.792188
735.914539 2455568.914539 46147.070312 7.251609 56734.449219 8.794946
735.934972 2455568.934972 46167.042969 7.252484 56762.078125 8.794782
735.955405 2455568.955405 46165.207031 7.252471 56764.878906 8.797650
735.975838 2455568.975838 46170.433594 7.252700 56784.269531 8.800383
735.996271 2455568.996271 46183.804688 7.253389 56802.386719 8.802061
