# Time, BJD, SAP_FLUX, SAP_FLUX_ERR, PDCSAP_FLUX, PDCSAP_FLUX_ERR

906.846477 2455739.846477 40531.945312 6.793987 nan nan
906.866911 2455739.866911 40547.511719 6.794713 50411.046875 8.771850
906.887346 2455739.887346 40534.773438 6.794332 50273.070312 8.770533
906.907780 2455739.907780 40547.843750 6.794628 50252.187500 8.781042
906.928214 2455739.928214 40558.371094 6.795116 50301.203125 8.775714
906.948649 2455739.948649 40565.214844 6.795432 50355.097656 8.781930
906.969083 2455739.969083 40572.292969 6.795786 50421.699219 8.779927
906.989517 2455739.989517 40578.039062 6.796105 50460.496094 8.782852
907.009952 2455740.009952 40599.652344 6.796982 50493.062500 8.781755
907.030386 2455740.030386 40610.460938 6.797486 50501.859375 8.787702
907.050820 2455740.050820 40626.656250 6.798120 50522.515625 8.787236
907.071255 2455740.071255 40644.734375 6.799050 50550.867188 8.791451
907.091689 2455740.091689 40649.058594 6.799429 50569.550781 8.793464
907.112123 2455740.112123 40643.960938 6.799051 50571.960938 8.793489
907.132557 2455740.132557 40623.304688 6.798076 50560.996094 8.790795
907.152992 2455740.152992 40648.441406 6.800486 50605.230469 8.798719
907.173426 2455740.173426 40623.539062 6.798094 50583.976562 8.797225
907.193861 2455740.193861 40606.718750 6.797281 50580.457031 8.792041
907.214295 2455740.214295 40591.871094 6.796765 50573.117188 8.797289
907.234729 2455740.234729 40567.308594 6.795511 50560.632812 8.792396
907.255164 2455740.255164 40565.054688 6.795294 50561.652344 8.796899
907.275598 2455740.275598 40576.503906 6.795774 50583.097656 8.794909
907.296032 2455740.296032 40571.281250 6.795627 50567.410156 8.798861
907.316466 2455740.316466 40575.195312 6.795686 50566.679688 8.795518
907.336901 2455740.336901 40582.929688 6.796150 50574.562500 8.798292
907.357335 2455740.357335 40595.292969 6.796751 50598.117188 8.797867
907.377769 2455740.377769 40586.347656 6.796358 50606.410156 8.797323
907.398204 2455740.398204 40607.832031 6.797324 50651.296875 8.800577
907.418638 2455740.418638 40602.273438 6.797138 50673.066406 8.802073
907.439072 2455740.439072 40622.421875 6.798045 50707.972656 8.803063
907.459507 2455740.459507 40623.046875 6.798052 50724.460938 8.803289
907.479941 2455740.479941 40651.386719 6.799956 50755.636719 8.807162
907.500375 2455740.500375 40646.589844 6.799110 50763.996094 8.804857
907.520809 2455740.520809 40655.511719 6.799542 50781.769531 8.806710
907.541244 2455740.541244 40660.753906 6.799819 50792.562500 8.803449
907.561678 2455740.561678 40676.218750 6.800411 50817.359375 8.807776
907.582112 2455740.582112 40673.187500 6.800295 50817.023438 8.808287
907.602547 2455740.602547 40644.843750 6.799074 50776.921875 8.806888
907.622981 2455740.622981 40659.929688 6.799822 50792.433594 8.805826
907.643415 2455740.643415 40669.003906 6.800030 50799.656250 8.810326
907.663850 2455740.663850 40673.152344 6.800297 50804.828125 8.809082
907.684284 2455740.684284 40683.992188 6.800775 50827.832031 8.809364
907.704718 2455740.704718 40687.269531 6.800882 50832.261719 8.810061
907.725153 2455740.725153 40698.570312 6.801522 50858.898438 8.813082
907.745587 2455740.745587 40708.089844 6.802015 50876.144531 8.813614
907.766021 2455740.766021 40728.390625 6.802813 50917.601562 8.811053
907.786456 2455740.786456 40732.687500 6.803122 50919.304688 8.815136
907.806890 2455740.806890 40732.496094 6.803074 50939.609375 8.811819
907.827324 2455740.827324 40744.226562 6.803531 50956.632812 8.815042
907.847758 2455740.847758 40740.015625 6.803376 50965.636719 8.815019
907.868193 2455740.868193 40720.101562 6.802487 50932.585938 8.811712
907.888627 2455740.888627 40711.460938 6.802108 50926.835938 8.811932
907.909061 2455740.909061 40698.105469 6.801397 50907.570312 8.811563
907.929496 2455740.929496 40681.500000 6.800753 50883.015625 8.810551
907.949930 2455740.949930 40661.640625 6.799766 50863.714844 8.809496
907.970364 2455740.970364 40666.230469 6.799845 50863.843750 8.811821
907.990799 2455740.990799 40650.515625 6.799241 50858.113281 8.809958
908.011233 2455741.011233 40651.050781 6.799248 50855.988281 8.810719
908.031667 2455741.031667 40657.992188 6.799604 50871.335938 8.810162
908.052102 2455741.052102 40633.199219 6.798496 50838.648438 8.809886
908.072536 2455741.072536 40651.253906 6.799265 50865.324219 8.809650
