# Time, BJD, SAP_FLUX, SAP_FLUX_ERR

2454964.512577 41317.984375 6.023346
2454964.533011 41311.812500 6.022989
2454964.553446 41312.832031 6.023112
2454964.573880 41310.125000 6.022854
2454964.594315 41300.898438 6.022353
2454964.614750 41289.281250 6.021774
2454964.635184 41302.972656 6.022458
2454964.655619 41304.269531 6.022594
2454964.676054 41314.167969 6.023081
2454964.696488 41312.148438 6.023015
2454964.716923 41321.691406 6.023486
2454964.737357 41317.449219 6.023250
2454964.757792 41326.289062 6.023648
2454964.778226 41317.414062 6.023252
2454964.798661 41304.941406 6.022595
2454964.819096 41306.718750 6.022746
2454964.839530 41279.386719 6.021303
2454964.859965 41259.058594 6.020195
2454964.880399 41240.699219 6.019301
2454964.900834 41227.933594 6.018573
2454964.921269 41224.261719 6.018377
2454964.941703 41192.871094 6.014714
2454964.962138 41182.980469 6.016319
2454964.982572 41188.843750 6.016561
2454965.003007 41179.160156 6.014008
2454965.023442 41190.113281 6.016629
2454965.043876 41192.902344 6.016788
2454965.064311 41210.964844 6.017673
2454965.084745 41216.441406 6.017994
2454965.105180 41232.675781 6.018872
2454965.125615 41263.277344 6.020367
2454965.146049 41283.042969 6.021358
2454965.166484 41289.828125 6.021859
2454965.186918 41293.050781 6.022017
2454965.207353 41310.406250 6.022800
2454965.227788 41298.398438 6.022335
2454965.248222 41308.386719 6.022751
2454965.268657 41310.140625 6.022825
2454965.289091 41301.894531 6.022408
2454965.309526 41297.664062 6.022173
2454965.329961 41293.031250 6.021989
2454965.350395 41299.347656 6.022278
2454965.370830 41292.761719 6.021947
2454965.391264 41295.128906 6.022059
2454965.411699 41300.808594 6.022470
2454965.432134 41313.707031 6.023008
2454965.452568 41322.011719 6.023434
2454965.473003 41315.152344 6.023048
2454965.493437 41309.863281 6.022827
2454965.513872 41306.675781 6.022593
2454965.534306 41296.035156 6.020021
2454965.554741 41298.085938 6.022146
2454965.575176 41288.625000 6.021818
2454965.595610 41275.511719 6.020006
2454965.616045 41250.144531 6.019694
2454965.636480 41217.492188 6.017948
2454965.656914 41204.515625 6.017399
2454965.677349 41191.824219 6.014651
2454965.697783 41173.730469 6.013692
2454965.718218 41174.089844 6.013741
2454965.738652 41168.617188 6.013509
2454965.759087 41181.632812 6.014223
2454965.779522 41191.601562 6.014733
2454965.799956 41212.335938 6.015757
2454965.820391 41213.445312 6.015740
2454965.840825 41241.984375 6.017556
2454965.861260 41265.125000 6.018475
2454965.881695 41273.718750 6.018945
2454965.902129 40945.117188 6.019626
2454965.922564 41308.531250 6.020816
2454965.942998 41309.710938 6.020927
2454965.963433 41305.316406 6.020629
2454965.983868 41315.156250 6.021120
2454966.004302 41290.230469 6.019827
2454966.024737 41285.910156 6.019569
2454966.045171 41290.714844 6.019822
2454966.065606 41293.195312 6.019909
2454966.086040 41287.039062 6.021691
2454966.106475 41278.679688 6.020200
2454966.126910 41302.964844 6.022480
2454966.147344 41317.359375 6.023177
2454966.167779 41298.953125 6.020308
2454966.188213 41188.757812 6.014584
2454966.208648 40622.640625 5.981570
2454966.229083 39683.863281 5.932253
2454966.249517 38457.890625 5.861483
2454966.269952 37066.609375 5.784517
2454966.290386 35488.191406 5.690876
2454966.310821 33801.394531 5.591109
2454966.331256 32041.169922 5.484966
2454966.351690 30311.349609 5.378440
2454966.372125 28714.330078 5.276155
2454966.392559 27520.234375 5.200015
2454966.412994 27123.861328 5.173516
2454966.433429 27093.333984 5.171576
2454966.453863 27320.626953 5.187731
2454966.474298 28269.710938 5.245775
2454966.494732 29791.816406 5.344304
2454966.515167 31484.892578 5.449318
2454966.535601 33235.410156 5.555587
2454966.556036 34939.175781 5.657031
2454966.576471 36566.203125 5.753745
2454966.596905 38027.578125 5.838402
2454966.617340 39308.183594 5.912347
2454966.637774 40357.839844 5.967724
2454966.658209 41065.269531 6.008072
2454966.678644 41304.449219 6.020573
2454966.699078 41300.093750 6.022384
2454966.719513 41300.242188 6.021352
2454966.739947 41295.664062 6.020043
2454966.760382 41292.191406 6.019926
2454966.780817 41296.046875 6.022107
2454966.801251 41284.789062 6.019516
2454966.821686 41291.414062 6.019842
2454966.842120 41297.125000 6.020175
2454966.862555 41298.480469 6.020224
2454966.882989 41301.144531 6.020378
2454966.903424 41308.472656 6.020775
2454966.923859 41315.972656 6.021177
2454966.944293 41306.503906 6.020689
2454966.964728 41304.503906 6.020579
2454966.985162 41313.433594 6.021055
2454967.005597 41289.085938 6.019762
2454967.026032 41289.812500 6.019791
2454967.046466 41270.484375 6.018789
2454967.066901 41254.632812 6.017971
2454967.087335 41229.042969 6.016640
2454967.107770 41214.765625 6.015931
2454967.128204 41195.160156 6.014832
2454967.148639 41179.265625 6.014059
2454967.169074 41192.683594 6.014778
2454967.189508 41180.480469 6.014133
2454967.209943 41171.500000 6.013641
2454967.230377 41196.425781 6.014864
2454967.250812 41191.449219 6.014738
2454967.271247 41202.472656 6.015183
2454967.291681 41216.429688 6.015982
2454967.312116 41243.867188 6.017402
2454967.332550 41255.953125 6.018012
2454967.352985 41282.558594 6.019439
2454967.373419 41292.644531 6.020004
2454967.393854 nan nan
2454967.414289 41309.273438 6.020831
2454967.434723 41291.421875 6.019932
2454967.455158 41309.761719 6.020833
2454967.475592 41302.687500 6.020494
2454967.496027 41295.925781 6.020136
2454967.516462 41290.714844 6.019837
2454967.536896 41288.722656 6.019757
2454967.557331 41288.406250 6.019734
2454967.577765 41290.828125 6.019886
2454967.598200 41286.242188 6.019687
2454967.618634 41281.222656 6.019431
2454967.639069 41304.503906 6.020646
