# Time, BJD, SAP_FLUX, SAP_FLUX_ERR, PDCSAP_FLUX, PDCSAP_FLUX_ERR

443.489947 2455276.489947 43040.351562 6.248721 nan nan
443.510381 2455276.510381 43040.527344 6.248726 54870.328125 8.014468
443.530816 2455276.530816 43022.601562 6.247950 54848.726562 8.012954
443.551250 2455276.551250 43018.375000 6.247686 54841.476562 8.016848
443.571684 2455276.571684 43016.378906 6.247510 54832.238281 8.019248
443.592119 2455276.592119 43016.199219 6.247535 54836.445312 8.015907
443.612553 2455276.612553 43016.632812 6.247486 54831.996094 8.016773
443.632988 2455276.632988 43033.296875 6.248351 54850.218750 8.017843
443.653422 2455276.653422 43053.695312 6.249284 54878.066406 8.020962
443.673856 2455276.673856 43068.765625 6.250130 54895.390625 8.021900
443.694291 2455276.694291 43098.222656 6.251494 54931.101562 8.026051
443.714725 2455276.714725 43110.773438 6.252117 54948.890625 8.026262
443.735160 2455276.735160 43134.269531 6.253356 54975.621094 8.029587
443.755594 2455276.755594 43136.363281 6.253848 54976.417969 8.030008
443.776029 2455276.776029 43144.246094 6.253749 54995.574219 8.028101
443.796463 2455276.796463 43177.804688 6.255497 55024.304688 8.032564
443.816897 2455276.816897 43153.871094 6.254255 54993.171875 8.030621
443.837332 2455276.837332 43160.289062 6.254631 54999.781250 8.032050
443.857766 2455276.857766 43168.773438 6.255035 55010.734375 8.033657
443.878200 2455276.878200 43167.890625 6.254997 55007.535156 8.033127
443.898635 2455276.898635 43186.882812 6.255863 55032.253906 8.035184
443.919069 2455276.919069 43172.398438 6.255116 55009.824219 8.033129
443.939504 2455276.939504 43188.015625 6.255962 55030.433594 8.038432
443.959938 2455276.959938 43201.484375 6.256614 55045.105469 8.036564
443.980373 2455276.980373 43211.324219 6.257153 55053.320312 8.037207
444.000807 2455277.000807 43218.164062 6.257416 55067.257812 8.041584
444.021241 2455277.021241 43229.660156 6.257994 55077.625000 8.040025
444.041676 2455277.041676 43239.492188 6.258556 55088.089844 8.045815
444.062110 2455277.062110 43241.898438 6.258561 55092.792969 8.041001
444.082545 2455277.082545 43234.562500 6.258146 55081.457031 8.039052
444.102979 2455277.102979 43219.187500 6.257531 55058.039062 8.040623
444.123413 2455277.123413 43207.292969 6.256887 55043.890625 8.039990
444.143848 2455277.143848 43210.578125 6.257042 55045.484375 8.038245
444.164282 2455277.164282 43168.546875 6.254888 54990.929688 8.037464
444.184717 2455277.184717 43148.050781 6.253910 54965.597656 8.037193
444.205151 2455277.205151 43114.960938 6.252200 54917.195312 8.032889
444.225585 2455277.225585 nan nan nan nan
444.246020 2455277.246020 43086.351562 6.250694 54882.214844 8.031480
