Title: Discovery of a Detached, Eclipsing 40 min Period Double White Dwarf 
       Binary and a Friend: Implications for He+CO White Dwarf Mergers  
Authors: Brown W.R., Kilic M., Kosakowski A., Gianninas A.
Figure: Light curves of J0822 and J1043
================================================================================
Byte-by-byte Description of file: dbf3.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1- 26 A26    ---     ID     SDSS coordinate identifier
  28- 37 F10.8  d       HJD    Heliocentric Julian Date minus 2457814
  39- 45 F7.4   mag     mag    Relative magnitude (1)
  47- 52 F6.4   mag   e_mag    Uncertainty in mag
--------------------------------------------------------------------------------
SDSS J082239.546+304857.19 0.84753240  0.0586 0.0431
SDSS J082239.546+304857.19 0.84787964 -0.0478 0.0411
SDSS J082239.546+304857.19 0.84822684  0.0149 0.0411
SDSS J082239.546+304857.19 0.84857405  0.2206 0.0501
SDSS J082239.546+304857.19 0.84892122  0.2140 0.0481
SDSS J082239.546+304857.19 0.84926843 -0.0032 0.0421
SDSS J082239.546+304857.19 0.84961563  0.0055 0.0441
SDSS J082239.546+304857.19 0.84996281  0.0027 0.0411
SDSS J082239.546+304857.19 0.85031001 -0.0415 0.0411
SDSS J082239.546+304857.19 0.85065725  0.0157 0.0411
SDSS J082239.546+304857.19 0.85100445  0.0171 0.0411
SDSS J082239.546+304857.19 0.85135163  0.0239 0.0421
SDSS J082239.546+304857.19 0.85169883 -0.0673 0.0381
SDSS J082239.546+304857.19 0.85204603 -0.0301 0.0381
SDSS J082239.546+304857.19 0.85239321 -0.0383 0.0411
SDSS J082239.546+304857.19 0.85274041  0.0032 0.0411
SDSS J082239.546+304857.19 0.85308765  0.0060 0.0411
SDSS J082239.546+304857.19 0.85343485  0.0140 0.0431
SDSS J082239.546+304857.19 0.85378203  0.0051 0.0441
SDSS J082239.546+304857.19 0.85412923  0.0005 0.0411
SDSS J082239.546+304857.19 0.85447644  0.0362 0.0421
SDSS J082239.546+304857.19 0.85482361 -0.0957 0.0371
SDSS J082239.546+304857.19 0.85517082  0.0697 0.0441
SDSS J082239.546+304857.19 0.85551802 -0.0508 0.0391
SDSS J082239.546+304857.19 0.85586526 -0.0260 0.0401
SDSS J082239.546+304857.19 0.85621243 -0.0228 0.0431
SDSS J082239.546+304857.19 0.85655964 -0.0606 0.0391
SDSS J082239.546+304857.19 0.85690684  0.0546 0.0451
SDSS J082239.546+304857.19 0.85725402  0.0266 0.0421
SDSS J082239.546+304857.19 0.85760122 -0.0382 0.0401
SDSS J082239.546+304857.19 0.85794843 -0.0116 0.0391
SDSS J082239.546+304857.19 0.85829566 -0.0502 0.0401
SDSS J082239.546+304857.19 0.85864284  0.0630 0.0441
SDSS J104336.275+055149.90 0.86152897  0.0085 0.0231
SDSS J104336.275+055149.90 0.86170257  0.0185 0.0251
SDSS J104336.275+055149.90 0.86187616  0.0152 0.0221
SDSS J104336.275+055149.90 0.86204979 -0.0380 0.0211
SDSS J104336.275+055149.90 0.86222339  0.0228 0.0231
SDSS J104336.275+055149.90 0.86239699 -0.0026 0.0221
SDSS J104336.275+055149.90 0.86257065 -0.0004 0.0231
SDSS J104336.275+055149.90 0.86274424  0.0133 0.0221
SDSS J104336.275+055149.90 0.86291787  0.0272 0.0231
SDSS J104336.275+055149.90 0.86309147  0.0054 0.0221
SDSS J104336.275+055149.90 0.86326507  0.0022 0.0221
SDSS J104336.275+055149.90 0.86343870  0.0197 0.0221
SDSS J104336.275+055149.90 0.86378589  0.0282 0.0231
SDSS J104336.275+055149.90 0.86395952  0.0407 0.0241
SDSS J104336.275+055149.90 0.86413312  0.0226 0.0241
SDSS J104336.275+055149.90 0.86430672 -0.0057 0.0231
SDSS J104336.275+055149.90 0.86448035  0.0354 0.0241
SDSS J104336.275+055149.90 0.86465395 -0.0292 0.0221
SDSS J104336.275+055149.90 0.86482754 -0.0095 0.0221
SDSS J104336.275+055149.90 0.86500117  0.0255 0.0241
SDSS J104336.275+055149.90 0.86517480  0.0469 0.0241
SDSS J104336.275+055149.90 0.86534843  0.0347 0.0231
SDSS J104336.275+055149.90 0.86552203  0.0127 0.0221
SDSS J104336.275+055149.90 0.86569562  0.0207 0.0231
SDSS J104336.275+055149.90 0.86586925 -0.0242 0.0231
SDSS J104336.275+055149.90 0.86604285  0.0154 0.0231
SDSS J104336.275+055149.90 0.86621645 -0.0167 0.0221
SDSS J104336.275+055149.90 0.86639008  0.0049 0.0241
SDSS J104336.275+055149.90 0.86656368  0.0374 0.0241
SDSS J104336.275+055149.90 0.86673727  0.0097 0.0251
SDSS J104336.275+055149.90 0.86691090  0.0006 0.0271
SDSS J104336.275+055149.90 0.86708450  0.0345 0.0261
SDSS J104336.275+055149.90 0.86725810  0.0050 0.0231
SDSS J104336.275+055149.90 0.86743173  0.0093 0.0241
SDSS J104336.275+055149.90 0.86760533  0.0116 0.0231
SDSS J104336.275+055149.90 0.86777898 -0.0199 0.0221
SDSS J104336.275+055149.90 0.86795258 -0.0235 0.0231
SDSS J104336.275+055149.90 0.86812618 -0.0006 0.0231
SDSS J104336.275+055149.90 0.86829981  0.0163 0.0231
SDSS J104336.275+055149.90 0.86847341 -0.0239 0.0261
SDSS J104336.275+055149.90 0.86864700 -0.0042 0.0251
SDSS J104336.275+055149.90 0.86882063  0.0244 0.0241
SDSS J104336.275+055149.90 0.86899423 -0.0209 0.0231
SDSS J104336.275+055149.90 0.86916783 -0.0144 0.0231
SDSS J104336.275+055149.90 0.86934146 -0.0048 0.0241
SDSS J104336.275+055149.90 0.86951506  0.0063 0.0231
SDSS J104336.275+055149.90 0.86968865 -0.0146 0.0251
SDSS J104336.275+055149.90 0.86986228  0.0310 0.0301
SDSS J104336.275+055149.90 0.87003588  0.0200 0.0281
SDSS J104336.275+055149.90 0.87020948  0.0178 0.0241
SDSS J104336.275+055149.90 0.87038314 -0.0144 0.0221
SDSS J104336.275+055149.90 0.87055673  0.0148 0.0241
SDSS J104336.275+055149.90 0.87073036 -0.0250 0.0251
SDSS J104336.275+055149.90 0.87090396 -0.0044 0.0271
SDSS J104336.275+055149.90 0.87107756 -0.0043 0.0261
SDSS J104336.275+055149.90 0.87125119  0.0296 0.0271
SDSS J104336.275+055149.90 0.87142479  0.0022 0.0261
SDSS J104336.275+055149.90 0.87159838  0.0119 0.0281
SDSS J104336.275+055149.90 0.87177201 -0.0114 0.0281
SDSS J104336.275+055149.90 0.87194561 -0.0005 0.0271
SDSS J104336.275+055149.90 0.87211921 -0.0160 0.0241
SDSS J104336.275+055149.90 0.87229284  0.0161 0.0261
SDSS J104336.275+055149.90 0.87246643  0.0050 0.0251
SDSS J104336.275+055149.90 0.87264003  0.0347 0.0261
SDSS J104336.275+055149.90 0.87281366 -0.0385 0.0241
SDSS J104336.275+055149.90 0.87298729 -0.0017 0.0281
